24-04-11--16-29-29

aug=mix
bsz=64
nb_nodes=100
model_lr=5e-05
nb_batch_per_epoch=400
data_path=./
checkpoint_model=n
aug_num=16
test_aug_num=16
num_state_encoder=1
dim_emb=128
dim_ff=512
nb_heads=8
action_k=15
state_k=[35]
problem=cvrp
nb_layers_state_encoder=2
nb_layers_action_encoder=2
nb_layers_decoder=3
nb_candidate_layers=3
nb_epochs=400
gamma=0.99
dim_input_nodes=2
batchnorm=False
gpu_id=0
nb_batch_eval=80
if_use_local_mask=False
if_agg_whole_graph=False
if_aug=True
if_test=True
tol=0.001
CAPACITIES={10: 20.0, 20: 30.0, 50: 40.0, 100: 50.0}


Epoch: 0, epoch time: 35.308min, tot time: 0.025day, L_base: 26.778, L_train: 21.686, update_model: True.
Epoch: 1, epoch time: 27.008min, tot time: 0.047day, L_base: 21.822, L_train: 19.315, update_model: True.
Epoch: 2, epoch time: 27.017min, tot time: 0.068day, L_base: 19.303, L_train: 19.163, update_model: True.
Epoch: 3, epoch time: 26.947min, tot time: 0.090day, L_base: 19.100, L_train: 18.925, update_model: True.
Epoch: 4, epoch time: 26.908min, tot time: 0.111day, L_base: 18.871, L_train: 18.531, update_model: True.
Epoch: 5, epoch time: 26.420min, tot time: 0.132day, L_base: 18.866, L_train: 18.833, update_model: True.
Epoch: 6, epoch time: 26.281min, tot time: 0.153day, L_base: 18.666, L_train: 18.460, update_model: True.
Epoch: 7, epoch time: 26.601min, tot time: 0.174day, L_base: 18.224, L_train: 17.934, update_model: True.
Epoch: 8, epoch time: 26.610min, tot time: 0.195day, L_base: 18.144, L_train: 18.073, update_model: True.
Epoch: 9, epoch time: 26.457min, tot time: 0.216day, L_base: 18.095, L_train: 18.213, update_model: False.
Epoch: 10, epoch time: 26.645min, tot time: 0.238day, L_base: 17.952, L_train: 17.772, update_model: True.
Epoch: 11, epoch time: 27.051min, tot time: 0.259day, L_base: 17.576, L_train: 17.687, update_model: False.
Epoch: 12, epoch time: 27.370min, tot time: 0.281day, L_base: 17.855, L_train: 17.781, update_model: True.
Epoch: 13, epoch time: 27.135min, tot time: 0.302day, L_base: 17.630, L_train: 17.482, update_model: True.
Epoch: 14, epoch time: 27.134min, tot time: 0.324day, L_base: 17.649, L_train: 17.591, update_model: True.
Epoch: 15, epoch time: 27.247min, tot time: 0.346day, L_base: 17.549, L_train: 17.629, update_model: False.
Epoch: 16, epoch time: 27.282min, tot time: 0.367day, L_base: 17.694, L_train: 17.774, update_model: False.
Epoch: 17, epoch time: 27.880min, tot time: 0.389day, L_base: 17.557, L_train: 17.408, update_model: True.
Epoch: 18, epoch time: 27.823min, tot time: 0.412day, L_base: 17.408, L_train: 17.806, update_model: False.
Epoch: 19, epoch time: 27.849min, tot time: 0.434day, L_base: 17.227, L_train: 17.269, update_model: False.
Epoch: 20, epoch time: 27.857min, tot time: 0.456day, L_base: 17.586, L_train: 17.517, update_model: True.
Epoch: 21, epoch time: 27.860min, tot time: 0.478day, L_base: 17.679, L_train: 17.685, update_model: False.
Epoch: 22, epoch time: 27.832min, tot time: 0.500day, L_base: 17.504, L_train: 17.635, update_model: False.
Epoch: 23, epoch time: 27.686min, tot time: 0.522day, L_base: 17.328, L_train: 17.373, update_model: False.
Epoch: 24, epoch time: 27.637min, tot time: 0.544day, L_base: 17.544, L_train: 17.587, update_model: False.
Epoch: 25, epoch time: 27.684min, tot time: 0.566day, L_base: 17.230, L_train: 17.181, update_model: True.
Epoch: 26, epoch time: 27.732min, tot time: 0.588day, L_base: 17.271, L_train: 17.255, update_model: True.
Epoch: 27, epoch time: 27.662min, tot time: 0.610day, L_base: 17.124, L_train: 17.105, update_model: True.
Epoch: 28, epoch time: 27.185min, tot time: 0.632day, L_base: 17.113, L_train: 17.189, update_model: False.
Epoch: 29, epoch time: 27.195min, tot time: 0.654day, L_base: 17.375, L_train: 17.388, update_model: False.
Epoch: 30, epoch time: 27.193min, tot time: 0.675day, L_base: 17.398, L_train: 17.430, update_model: False.
Epoch: 31, epoch time: 27.249min, tot time: 0.697day, L_base: 17.406, L_train: 17.322, update_model: True.
Epoch: 32, epoch time: 27.194min, tot time: 0.718day, L_base: 17.149, L_train: 17.075, update_model: True.
Epoch: 33, epoch time: 27.089min, tot time: 0.740day, L_base: 17.016, L_train: 17.079, update_model: False.
Epoch: 34, epoch time: 26.965min, tot time: 0.761day, L_base: 16.928, L_train: 16.977, update_model: False.
Epoch: 35, epoch time: 27.301min, tot time: 0.783day, L_base: 17.271, L_train: 17.259, update_model: True.
Epoch: 36, epoch time: 27.276min, tot time: 0.805day, L_base: 17.197, L_train: 17.253, update_model: False.
Epoch: 37, epoch time: 26.955min, tot time: 0.826day, L_base: 17.211, L_train: 17.139, update_model: True.
Epoch: 38, epoch time: 26.455min, tot time: 0.847day, L_base: 17.241, L_train: 17.247, update_model: False.
Epoch: 39, epoch time: 26.924min, tot time: 0.869day, L_base: 17.422, L_train: 17.405, update_model: True.
Epoch: 40, epoch time: 27.576min, tot time: 0.891day, L_base: 17.123, L_train: 17.192, update_model: False.
Epoch: 41, epoch time: 27.607min, tot time: 0.913day, L_base: 17.048, L_train: 17.446, update_model: False.
Epoch: 42, epoch time: 27.649min, tot time: 0.935day, L_base: 17.052, L_train: 17.106, update_model: False.
Epoch: 43, epoch time: 27.711min, tot time: 0.957day, L_base: 17.099, L_train: 17.142, update_model: False.
Epoch: 44, epoch time: 27.733min, tot time: 0.979day, L_base: 17.076, L_train: 17.060, update_model: True.
Epoch: 45, epoch time: 27.120min, tot time: 1.000day, L_base: 17.000, L_train: 17.041, update_model: False.
Epoch: 46, epoch time: 27.097min, tot time: 1.022day, L_base: 17.115, L_train: 17.070, update_model: True.
Epoch: 47, epoch time: 27.100min, tot time: 1.043day, L_base: 17.211, L_train: 17.288, update_model: False.
Epoch: 48, epoch time: 27.553min, tot time: 1.065day, L_base: 17.121, L_train: 17.093, update_model: True.
Epoch: 49, epoch time: 27.484min, tot time: 1.087day, L_base: 17.226, L_train: 17.287, update_model: False.
Epoch: 50, epoch time: 27.516min, tot time: 1.109day, L_base: 17.148, L_train: 17.209, update_model: False.
Epoch: 51, epoch time: 26.755min, tot time: 1.131day, L_base: 17.001, L_train: 17.092, update_model: False.
Epoch: 52, epoch time: 26.774min, tot time: 1.152day, L_base: 17.196, L_train: 17.196, update_model: False.
Epoch: 53, epoch time: 26.781min, tot time: 1.173day, L_base: 16.996, L_train: 17.097, update_model: False.
Epoch: 54, epoch time: 26.797min, tot time: 1.195day, L_base: 17.050, L_train: 17.206, update_model: False.
Epoch: 55, epoch time: 26.815min, tot time: 1.216day, L_base: 16.863, L_train: 16.866, update_model: False.
Epoch: 56, epoch time: 26.809min, tot time: 1.237day, L_base: 17.041, L_train: 16.962, update_model: True.
Epoch: 57, epoch time: 26.804min, tot time: 1.259day, L_base: 16.921, L_train: 16.936, update_model: False.
Epoch: 58, epoch time: 26.802min, tot time: 1.280day, L_base: 17.035, L_train: 17.081, update_model: False.
Epoch: 59, epoch time: 26.805min, tot time: 1.301day, L_base: 16.995, L_train: 17.079, update_model: False.
Epoch: 60, epoch time: 27.253min, tot time: 1.323day, L_base: 16.963, L_train: 16.989, update_model: False.
Epoch: 61, epoch time: 26.826min, tot time: 1.344day, L_base: 16.890, L_train: 16.867, update_model: True.
Epoch: 62, epoch time: 26.838min, tot time: 1.366day, L_base: 16.813, L_train: 16.829, update_model: False.
Epoch: 63, epoch time: 26.640min, tot time: 1.387day, L_base: 16.892, L_train: 16.886, update_model: True.
Epoch: 64, epoch time: 26.650min, tot time: 1.408day, L_base: 16.884, L_train: 16.942, update_model: False.
Epoch: 65, epoch time: 26.869min, tot time: 1.429day, L_base: 16.988, L_train: 17.029, update_model: False.
Epoch: 66, epoch time: 26.859min, tot time: 1.451day, L_base: 16.898, L_train: 16.938, update_model: False.
Epoch: 67, epoch time: 26.816min, tot time: 1.472day, L_base: 16.792, L_train: 16.768, update_model: True.
Epoch: 68, epoch time: 26.849min, tot time: 1.493day, L_base: 16.795, L_train: 16.786, update_model: True.
